belongsto,id,population,latitude,longitude
ME,AZE,10067108,40.1431,47.5769
AS,AFG,32225560,33,65
EU,ALB,2845955,41.1533,20.1683
AF,DZA,43000000,28.0339,1.6596
EU,AND,77543,42.5063,1.5218
AF,AGO,31127674,-11.2027,17.8739
NA,ACA,96453,17.0608,-61.7964
SA,ARG,45376763,-38.4161,-63.6167
ME,ARM,2957500,40.0691,45.0382
NA,ABW,112309,12.5186,-70.0358
AP,AUS,25360053,-25.274399,133.775131
EU,AUT,8861572,47.5162,14.5501
NA,BHS,385340,25.0343,-77.3963
ME,BHR,1543300,26.0275,50.55
AS,BGD,168355042,23.685,90.3563
NA,BRB,287025,13.1939,-59.5432
EU,BLR,9413446,53.7098,27.9534
EU,BEL,11431406,50.8333,4
NA,BLZ,408487,13.1939,-59.5432
AF,BEN,11733059,9.3077,2.3158
AS,BTN,741672,27.5142,90.4336
SA,BOL,11469896,-16.2902,-63.5887
EU,BIH,3301000,43.9159,17.6791
AF,BWA,2338851,-22.3285,24.6849
SA,BRA,210147125,-14.235,-51.9253
AS,BRN,442400,4.5353,114.7277
EU,BGR,7000039,42.7339,25.4858
AF,BFA,20870060,12.2383,-1.5616
AS,MMR,54339766,21.9162,95.956
AF,BDI,11215578,-3.3731,29.9189
AF,CPV,550483,16.5388,-23.0418
AS,KHM,15288489,11.55,104.9167
AF,CMR,26545864,3.848,11.5021
NA,CAN,37891646,56.130367,-106.346771
AF,CPV,550483,16.5388,-23.0418
NA,CYM,68076,19.3133,-81.2546
AF,CAF,5496011,6.6111,20.9394
AF,TCD,16244513,15.4542,18.7322
EU,JEY,170499,49.3723,-2.3644
SA,CHX,19433308,-35.6751,-71.543
AS,CHI,1333274649,35.86166,104.195396
SA,COL,50372424,4.5709,-74.2973
AF,COM,850886,-11.41,43.16
AF,COG,5399895,-4.0383,21.7587
AF,COD,86790567,-4.0383,21.7587
NA,CRI,5058007,9.7489,-83.7534
AF,CIV,25823071,7.54,-5.5471
EU,HRV,4076246,45.1,15.2
NA,CUB,11209628,22,-80
NA,CUW,158665,12.1696,-68.99
EU,CYP,875900,35.1264,33.4299
EU,CZE,10693939,49.8175,15.473
EU,DNK,5822763,56.2639,9.5018
EU,FRO,52110,61.8926,-6.9118
EU,GRL,56081,71.7069,-42.6043
AF,DJI,1078373,11.8251,42.5903
NA,DMA,71808,15.415,-61.371
NA,DOM,10358320,18.7357,-70.1627
AS,TLX,1387149,-8.874217,125.727539
SA,ECD,17454696,-1.8312,-78.1834
AF,EGY,100188362,26,30
NA,SLV,6486201,13.7942,-88.8965
AF,GNR,1358276,1.5,10
AF,ERI,3497117,15.1794,39.7823
EU,EST,1328360,58.5953,25.0136
AF,SWZ,1093238,-26.5225,31.4659
AF,ETH,98665000,9.145,40.4897
AP,FJI,884887,-17.7134,178.065
EU,FIN,5528292,64,26
SA,GUF,244118,3.9339,-53.1258
EU,FXX,63697865,46.2276,2.2137
AP,PYF,275918,-17.6797,-149.4068
NA,GLP,402119,16.25,-61.5833
NA,MTQ,385551,14.6415,-61.0242
AF,MYT,212645,-12.8275,45.1662
AP,NCL,271407,-20.904305,165.618042
AF,REU,835103,-21.1351,55.2471
NA,BLM,9793,17.9,-62.8333
NA,SPM,5997,46.8852,-56.3159
NA,MAF,77741,18.0708,-63.0501
AP,WLF,11558,-13.17,-176.11
AF,GAB,2172579,-0.8037,11.6094
AF,GMB,2347706,13.4432,-15.3101
ME,GEG,3723464,42.3154,43.3569
EU,DEU,82933274,51,9
AF,GHA,30280811,7.9465,-1.0232
EU,GIB,33701,36.1408,-5.3536
EU,GRC,10724599,39.0742,21.8243
NA,GRD,112003,12.1165,-61.679
AP,GUM,168801,13.4443,144.1793732
NA,GTM,16604026,15.7835,-90.2308
EU,GGG,62792,49.46,-2.535278
AF,GIN,12218357,9.9456,-9.6966
AF,GNB,1604528,11.8037,-15.1804
SA,GUY,782766,5,-58.75
NA,HTI,11577779,18.9712,-72.2852
NA,HND,9158345,15.2,-86.2419
AS,HKG,7061200,22.3,114.2
EU,HUN,9772756,47.1625,19.5033
EU,ISL,364260,64.9631,-19.0208
AS,INX,1341569971,21,78
AS,IDN,266911900,-0.7893,113.9213
ME,IRN,83322879,32,53
ME,IRR,39127900,33,44
EU,IRL,4761865,53.1424,-7.6921
ME,ISR,9178650,31,35
EU,ITA,59433744,43,12
NA,JAM,2726667,18.1096,-77.2975
AS,JPN,125950000,36,138
ME,JOR,10647224,31.24,36.51
AS,KAZ,18672624,48.0196,66.9237
AF,KEN,47564296,-0.0236,37.9062
AP,KIR,119940,1.28,173.2
AS,KOR,51780579,36,128
EU,KOS,1795666,42.602636,20.902977
ME,KWT,4420110,29.5,47.75
AS,KGZ,6523500,41.2044,74.7661
AS,LAO,7123205,19.85627,102.495496
EU,LVA,1906800,56.8796,24.6032
ME,LBN,6825442,33.8547,35.8623
AF,LSO,2108328,-29.28,27.56
AF,LBR,4475353,6.4281,-9.4295
AF,LBY,6871287,26.3351,17.228331
EU,LIE,38749,47.14,9.55
EU,LTU,2793471,55.1694,23.8813
EU,LUX,613894,49.8153,6.1296
AS,MAC,552300,22.1667,113.55
AF,MDG,26251309,-18.7669,46.8691
AF,MWI,17563749,-13.254308,34.301525
AS,MYS,32734760,2.5,112.5
AS,MDV,374775,3.2028,73.2207
AF,MLI,19973000,17.570692,-3.996166
EU,MLT,493559,35.9375,14.3754
AP,MHL,58413,7.7,171.4
AF,MRT,4077347,21.0079,10.9408
AS,MUS,1265985,-20.2,57.5
NA,MEX,127792286,23.6345,-102.5528
AP,FSM,104468,6.55,158.11
EU,MDA,2681735,47.4116,28.3699
EU,MCO,38300,43.7333,7.4167
AS,MNG,3310099,46.8625,103.8467
EU,MNE,622359,42.5,19.3
AF,MAR,35853810,31.7917,-7.0926
AF,MOZ,30066648,-18.665695,35.529562
AF,NAM,2458936,-22.9576,18.4904
AS,NPL,29996478,28.1667,84.25
NA,NL-BQ3,25157,12.1784,-68.2385
EU,NLX,17282163,52.1326,5.2913
NA,SXM,41486,18.0425,-63.0548
AP,COK,17459,-21.12,-159.46
AP,NZL,4974237,-40.9006,174.886
NA,NIC,6460411,12.8654,-85.2072
AF,NER,22314743,17.6078,8.0817
AF,NGA,206139587,9.082,8.6753
EU,NIR,1893700,54.607868,-5.926437
EU,MKD,2077132,41.6086,21.7453
EU,NOW,5367580,60.472,8.4689
ME,OMN,4664790,21,57
AS,PAK,219115520,30.3753,69.3451
SA,PER,35057835,-9.19,-75.0152
AS,PHL,108473275,13,122
EU,POL,38452302,51.9194,19.1451
EU,PRX,10646013,39.3999,-8.2245
NA,PRI,3193694,18.2208,-66.5901
ME,QAT,2747282,25.3548,51.1839
AS,PRK,25549604,39.2,125.45
EU,ROU,19405156,45.9432,24.9668
EU,RUS,150157989,60,90
AF,RWA,12374397,-1.9403,29.8739
NA,KNA,52823,17.357822,-62.782998
NA,LCA,178696,13.9094,-60.9789
NA,SXM,41486,18.0425,-63.0548
NA,VCT,110608,12.9843,-61.2872
AP,WSM,202506,-13.5,-171.45
EU,SMR,33574,43.9424,12.4578
AF,STS,211028,0.2,6.44
ME,SAU,34218169,24,45
AF,SEN,16209125,14.4974,-14.4524
EU,SRB,6963764,44.0165,21.0059
AS,SYC,97625,-4.6796,55.492
AF,SLE,7901454,8.460555,-11.779889
AS,SGP,5703600,1.2833,103.8333
EU,SVK,5456362,48.669,19.699
EU,SVN,2094060,46.1512,14.9955
AP,SLB,652857,-9.28,159.49
AF,SOX,15893219,5.1521,46.1996
AF,ZAX,58775022,-30.5595,22.9375
AF,SDS,10975927,6.877,31.307
EU,ESX,47026208,40,-4
AS,LKA,21803000,7,81
NA,MAF,77741,18.0708,-63.0501
AF,SDN,42385235,12.8628,30.2176
SA,SUR,581372,3.9193,-56.0278
EU,SWE,10327589,63,16
EU,CHE,8603899,46.8182,8.2275
ME,SYX,17500657,34.802075,38.996815
AS,TWN,23604265,23.7,121
AS,TJK,9275827,38.861034,71.276093
AF,TZA,55890747,-6.369,34.8888
AS,THA,66487442,15,101
AF,TGO,7538000,8.6195,0.8248
NA,TTO,1363985,10.6918,-61.2225
AF,TUN,11722038,34,9
ME,TUR,83154997,38.9637,35.2433
EU,GBR,66796961,55.3781,-3.436
NA,USB,328239523,39.368279,-97.327179
AP,ASM,55641,-14.271,-170.1322
AP,MNP,51659,15.27783,145.84695
NA,VIR,106405,18.3358,-64.8963
AF,UGA,40299300,1,32
EU,UKR,46365653,48.3794,31.1656
ME,ARE,9890400,24,54
NA,AIA,14869,18.2206,-63.0686
NA,BMU,62506,32.3078,-64.7505
NA,VGB,31758,18.4207,-64.64
NA,CYM,68076,19.3133,-81.2546
EU,JEY,170499,49.26,-2.19
SA,FLK,2840,-51.7963,-59.5236
EU,IMN,83314,54.2361,-4.5481
NA,MSR,5215,16.7425,-62.1874
NA,SHS,5633,-15.56,-5.43
NA,TCA,38191,21.694,-71.7979
SA,URY,3518552,-32.5228,-55.7658
AS,UZB,34098161,41.3775,64.5853
AP,VUT,307815,-15.23259,166.8282
EU,VAT,453,41.9029,12.4534
SA,VEN,32219521,6.4238,-66.5897
AS,VNM,96208984,16,108
AS,YEM,28498683,15.552727,48.516388
AF,ZMB,17885422,-15.4167,28.2833
AF,ZWE,15159624,-20,30
AP,AU-ACT,426709,-35.4735,149.0124
AP,AU-JBT,391,-35.855,150.4249
AP,AU-NSW,8089526,-33.8688,151.2093
AP,AU-NT,245869,-12.4634,130.8456
AP,AU-QLD,5095100,-28.0167,153.4
AP,AU-SA,1751693,-34.9285,138.6007
AP,AU-TAS,534281,-41.4545,145.9707
AP,AU-VIC,6594804,-37.8136,144.9631
AP,AU-WA,2621680,-31.9505,115.8605
EU,BE-VAN,1857986,51.216667,4.416667
EU,BE-BRU,1208542,50.85,4.35
EU,BE-VOV,1515064,51,3.75
EU,BE-VBR,1146175,50.916667,4.583333
EU,BE-WHT,1344241,50.5,3.92
EU,BE-WLG,1106992,50.633333,5.566667
EU,BE-VLI,874048,50.6,5.933333
EU,BE-WLX,284638,49.92,5.42
EU,BE-WNA,494325,50.466667,4.85
EU,BE-WBR,403599,50.666667,4.583333
EU,BE-VWV,1195796,51,3
SA,BR-AC,881935,-9.070003236,-68.66997929
SA,BR-AL,3337357,-9.48000405,-35.83996769
SA,BR-AP,845731,-0.039598369,-51.17998743
SA,BR-AM,4144597,-3.289580873,-60.6199797
SA,BR-BA,14873064,-16.28000242,-39.0299797
SA,BR-CE,9132078,-2.89999225,-40.85002364
SA,BR-DF,3015268,-15.78334023,-47.91605229
SA,BR-ES,4018650,-20.85000771,-41.12998071
SA,BR-GO,7018354,-17.73004311,-49.10998458
SA,BR-MA,7075181,-5.809995505,-46.14998438
SA,BR-MT,3484466,-15.65001504,-56.14002059
SA,BR-MS,2778986,-22.53000853,-55.7299681
SA,BR-MG,21168791,-18.78000486,-42.95002466
SA,BR-PA,8602865,-1.190019105,-47.17999903
SA,BR-PB,4018127,-7.019585756,-37.29000838
SA,BR-PR,11433957,-24.08996499,-54.2699797
SA,BR-PE,9557071,-8.110010153,-35.02004358
SA,BR-PI,3273227,-4.820030091,-42.18001998
SA,BR-RN,3506853,-5.650005271,-37.80000309
SA,BR-RS,11377239,-30.88004148,-55.53000615
